filename,width,height,class,xmin,ymin,xmax,ymax
maksssksksss348.png,301,400,tanpa_masker,58,119,239,315
maksssksksss349.png,400,268,bermasker,100,1,270,168
maksssksksss351.png,400,238,bermasker,96,0,294,202
maksssksksss352.png,250,400,bermasker,122,27,209,121
maksssksksss352.png,250,400,tanpa_masker,24,39,118,156
maksssksksss356.png,301,400,bermasker,85,114,261,308
maksssksksss358.png,400,300,bermasker,296,61,361,130
maksssksksss358.png,400,300,bermasker,241,53,304,115
maksssksksss358.png,400,300,bermasker,162,30,237,117
maksssksksss358.png,400,300,bermasker,78,36,144,107
maksssksksss366.png,512,306,bermasker,289,0,505,217
maksssksksss366.png,512,306,bermasker,18,0,239,211
maksssksksss370.png,301,400,tanpa_masker,97,63,280,275
maksssksksss371.png,400,225,bermasker,116,0,302,171
maksssksksss371.png,400,225,bermasker,327,43,329,43
maksssksksss379.png,301,400,tanpa_masker,96,138,284,324
maksssksksss38.png,400,285,bermasker,182,74,244,142
maksssksksss38.png,400,285,tanpa_masker,245,94,293,156
maksssksksss380.png,301,400,bermasker,7,112,229,358
maksssksksss383.png,301,400,bermasker,60,111,224,315
maksssksksss4.png,301,400,bermasker,47,134,201,329
maksssksksss402.png,301,400,tanpa_masker,56,203,197,357
maksssksksss404.png,301,400,tanpa_masker,67,170,214,330
maksssksksss420.png,301,400,tanpa_masker,66,112,234,303
maksssksksss430.png,400,300,bermasker,197,6,317,155
maksssksksss430.png,400,300,bermasker,83,10,192,149
maksssksksss442.png,301,400,tanpa_masker,42,74,263,334
maksssksksss443.png,301,400,tanpa_masker,34,75,240,286
maksssksksss448.png,400,216,bermasker,269,14,347,101
maksssksksss448.png,400,216,bermasker,222,1,268,77
maksssksksss448.png,400,216,bermasker,168,30,234,108
maksssksksss448.png,400,216,bermasker,78,11,161,101
maksssksksss454.png,400,278,bermasker,97,0,293,214
maksssksksss455.png,301,400,tanpa_masker,79,145,265,375
maksssksksss463.png,365,400,bermasker,43,0,299,252
maksssksksss469.png,400,298,bermasker,137,30,283,186
maksssksksss48.png,301,400,tanpa_masker,47,71,220,285
maksssksksss5.png,400,266,tanpa_masker,342,2,400,78
maksssksksss5.png,400,266,tanpa_masker,163,55,234,159
maksssksksss5.png,400,266,bermasker,235,46,301,148
maksssksksss5.png,400,266,bermasker,94,2,178,100
maksssksksss51.png,301,400,tanpa_masker,84,101,241,285
maksssksksss521.png,400,225,tanpa_masker,140,0,291,144
maksssksksss521.png,400,225,tanpa_masker,325,51,326,51
maksssksksss523.png,400,267,bermasker,166,44,314,177
maksssksksss523.png,400,267,tanpa_masker,3,33,176,209
maksssksksss528.png,301,400,tanpa_masker,6,97,210,311
maksssksksss530.png,301,400,tanpa_masker,22,175,188,350
maksssksksss537.png,301,400,tanpa_masker,56,103,235,305
maksssksksss540.png,301,400,tanpa_masker,72,61,248,255
maksssksksss544.png,301,400,tanpa_masker,106,151,280,343
maksssksksss561.png,301,400,tanpa_masker,45,74,216,286
maksssksksss565.png,301,400,tanpa_masker,94,120,271,326
maksssksksss567.png,400,267,bermasker,67,31,132,106
maksssksksss567.png,400,267,bermasker,209,10,276,88
maksssksksss567.png,400,267,bermasker,293,26,354,88
maksssksksss568.png,301,400,bermasker,68,125,240,310
maksssksksss571.png,301,400,tanpa_masker,102,132,267,322
maksssksksss576.png,400,295,bermasker,168,45,310,187
maksssksksss576.png,400,295,bermasker,57,28,181,165
maksssksksss581.png,301,400,bermasker,53,114,257,354
maksssksksss582.png,400,400,bermasker,109,1,400,338
maksssksksss609.png,301,400,tanpa_masker,62,5,301,281
maksssksksss615.png,301,400,tanpa_masker,23,213,195,377
maksssksksss618.png,301,400,tanpa_masker,60,106,254,301
maksssksksss62.png,301,400,bermasker,51,106,284,362
maksssksksss624.png,301,400,tanpa_masker,57,136,263,350
maksssksksss646.png,301,400,bermasker,57,107,258,343
maksssksksss655.png,301,400,tanpa_masker,62,99,277,304
maksssksksss660.png,301,400,tanpa_masker,94,80,279,271
maksssksksss665.png,400,267,bermasker,296,97,400,218
maksssksksss665.png,400,267,bermasker,325,0,400,82
maksssksksss665.png,400,267,bermasker,234,0,314,78
maksssksksss665.png,400,267,bermasker,169,67,283,205
maksssksksss665.png,400,267,bermasker,91,56,179,169
maksssksksss665.png,400,267,bermasker,0,100,96,255
maksssksksss666.png,400,300,bermasker,159,15,314,212
maksssksksss666.png,400,300,bermasker,283,0,400,115
maksssksksss666.png,400,300,bermasker,0,0,140,133
maksssksksss68.png,301,400,tanpa_masker,121,138,273,315
maksssksksss681.png,301,400,bermasker,30,56,274,337
maksssksksss688.png,400,277,bermasker,130,0,299,174
maksssksksss692.png,301,400,bermasker,28,169,196,356
maksssksksss7.png,400,300,bermasker,236,66,365,217
maksssksksss7.png,400,300,bermasker,146,53,233,178
maksssksksss7.png,400,300,bermasker,83,109,171,203
maksssksksss701.png,301,400,tanpa_masker,49,88,248,282
maksssksksss713.png,400,289,bermasker,204,10,400,209
maksssksksss716.png,301,400,tanpa_masker,45,105,268,320
maksssksksss72.png,301,400,tanpa_masker,83,129,243,301
maksssksksss729.png,301,400,tanpa_masker,47,239,209,400
maksssksksss731.png,400,400,bermasker,220,46,360,176
maksssksksss731.png,400,400,bermasker,67,90,182,191
maksssksksss742.png,301,400,bermasker,75,64,301,304
maksssksksss743.png,301,400,bermasker,71,115,237,279
maksssksksss745.png,301,400,bermasker,109,182,287,339
maksssksksss746.png,301,400,bermasker,0,127,182,336
maksssksksss747.png,301,400,bermasker,38,142,226,337
maksssksksss756.png,400,267,bermasker,189,16,267,89
maksssksksss756.png,400,267,bermasker,96,18,171,102
maksssksksss757.png,301,400,tanpa_masker,65,97,274,328
maksssksksss759.png,400,267,tanpa_masker,250,41,360,154
maksssksksss759.png,400,267,bermasker,130,55,234,167
maksssksksss759.png,400,267,bermasker,64,36,149,137
maksssksksss764.png,301,400,bermasker,0,147,175,372
maksssksksss766.png,301,400,bermasker,15,102,230,319
maksssksksss78.png,301,400,bermasker,83,179,268,362
maksssksksss785.png,400,244,tanpa_masker,85,29,251,178
maksssksksss787.png,400,288,bermasker,258,59,371,177
maksssksksss787.png,400,288,bermasker,126,68,231,187
maksssksksss787.png,400,288,bermasker,3,75,107,186
maksssksksss787.png,400,288,bermasker,72,69,152,173
maksssksksss787.png,400,288,bermasker,342,33,400,147
maksssksksss790.png,301,400,bermasker,75,83,280,307
maksssksksss793.png,301,400,bermasker,77,66,283,301
maksssksksss794.png,400,400,bermasker,210,117,381,300
maksssksksss794.png,400,400,bermasker,12,106,201,302
maksssksksss798.png,400,333,bermasker,137,166,296,331
maksssksksss798.png,400,333,bermasker,137,2,322,154
maksssksksss805.png,400,225,bermasker,268,66,384,162
maksssksksss805.png,400,225,bermasker,136,67,252,156
maksssksksss805.png,400,225,bermasker,277,0,384,61
maksssksksss805.png,400,225,bermasker,137,0,261,61
maksssksksss805.png,400,225,bermasker,15,69,117,160
maksssksksss805.png,400,225,bermasker,10,0,119,60
maksssksksss805.png,400,225,bermasker,147,164,247,225
maksssksksss805.png,400,225,bermasker,13,166,117,225
maksssksksss812.png,400,400,bermasker,265,5,376,121
maksssksksss812.png,400,400,bermasker,141,63,236,166
maksssksksss812.png,400,400,bermasker,42,43,133,148
maksssksksss817.png,301,400,tanpa_masker,58,74,225,266
maksssksksss818.png,301,400,tanpa_masker,77,146,267,369
maksssksksss827.png,301,400,bermasker,13,96,236,305
maksssksksss828.png,301,400,bermasker,21,114,260,326
maksssksksss83.png,400,306,tanpa_masker,246,0,400,167
maksssksksss83.png,400,306,bermasker,123,52,244,221
maksssksksss83.png,400,306,bermasker,4,4,124,156
maksssksksss837.png,301,400,tanpa_masker,43,70,237,271
maksssksksss838.png,301,400,bermasker,82,70,300,325
maksssksksss841.png,301,400,tanpa_masker,104,137,265,310
maksssksksss842.png,400,225,bermasker,304,29,381,110
maksssksksss842.png,400,225,bermasker,195,66,286,152
maksssksksss842.png,400,225,bermasker,116,64,195,156
maksssksksss842.png,400,225,tanpa_masker,31,54,112,141
maksssksksss843.png,400,400,bermasker,291,132,400,306
maksssksksss843.png,400,400,bermasker,116,46,270,215
maksssksksss843.png,400,400,bermasker,0,78,97,226
maksssksksss844.png,400,225,bermasker,253,2,319,65
maksssksksss844.png,400,225,bermasker,123,5,214,92
maksssksksss850.png,400,200,bermasker,309,27,378,93
maksssksksss850.png,400,200,bermasker,126,6,186,69
maksssksksss850.png,400,200,bermasker,9,28,83,91
maksssksksss851.png,301,400,bermasker,14,145,209,333
maksssksksss87.png,301,400,bermasker,90,239,233,390
maksssksksss99.png,400,267,bermasker,280,26,400,251
maksssksksss99.png,400,267,bermasker,168,19,302,166
maksssksksss99.png,400,267,bermasker,78,47,186,179
